feature,importance,importance_pct,cumulative_pct
State_of_Usage_Iowa,4,0.03,94.41
Secondary_Description_LE,4,0.03,94.44
Model_Description_120,4,0.03,94.47
Base_Model_763,4,0.03,94.5
Model_Description_745C,4,0.03,94.53
Product_Class_Description_Type_E_-_500_0_to_1000_0_Horsepower,4,0.03,94.56
Driver_System_No,4,0.03,94.59
Base_Model_T7,4,0.03,94.62
Model_Description_416II,4,0.03,94.65
Model_Description_L70E,4,0.03,94.68
Base_Model_EX60,4,0.03,94.71
Base_Model_214,4,0.03,94.74
Model_Description_MT50,4,0.03,94.77
Base_Model_S130,4,0.03,94.8
Model_Description_580G,4,0.03,94.83
Model_Description_DH220LC,4,0.03,94.86
Base_Model_EX150,4,0.03,94.89
Base_Model_D5,4,0.03,94.92
Base_Model_621,4,0.03,94.95
Base_Model_WA30,4,0.03,94.98
Base_Model_510,4,0.03,95.01
Base_Model_544,4,0.03,95.04
Model_Description_544A,4,0.03,95.07
Model_Description_520C,4,0.03,95.1
Product_Class_Description_Type_B_-_14_0_to_15_0_Ft_Standard_Digging_Depth,4,0.03,95.13
Base_Model_463,4,0.03,95.16
Model_Description_310D,4,0.03,95.19
Model_Description_27CZTS,4,0.03,95.22
Base_Model_H1000,4,0.03,95.25
Model_Description_544,4,0.03,95.28
Model_Description_308BSR,4,0.03,95.31
Model_Description_312,4,0.03,95.34
Product_Class_Description_Type_C_-_19_0_to_21_0_Metric_Tons,4,0.03,95.37
Machine_Width_Unknown,4,0.03,95.4
Base_Model_D45,4,0.03,95.43
Machine_Width_14',4,0.03,95.46
Base_Model_624,4,0.03,95.49
Model_Description_311B,4,0.03,95.52
State_of_Usage_Arizona,3,0.02,95.54
Model_Description_250,3,0.02,95.56
Base_Model_740,3,0.02,95.58
Model_Description_SL150-2,3,0.02,95.6
Screen_Size_14,3,0.02,95.62
Model_Description_645B,3,0.02,95.64
State_of_Usage_Kentucky,3,0.02,95.66
Product_Class_Description_Type_C_-_4_0_to_5_0_Metric_Tons,3,0.02,95.68
Model_Description_L330C,3,0.02,95.7
Model_Description_D5MXL,3,0.02,95.72
Model_Description_980F,3,0.02,95.74
Model_Description_110,3,0.02,95.76
Model_Description_214E4WD,3,0.02,95.78
Model_Descriptor_LRC,3,0.02,95.8
Model_Description_PC400LC3,3,0.02,95.82
State_of_Usage_Utah,3,0.02,95.84
Base_Model_B100,3,0.02,95.86
Model_Description_E200BL,3,0.02,95.88
State_of_Usage_South_Carolina,3,0.02,95.9
Model_Description_745,3,0.02,95.92
Model_Description_721,3,0.02,95.94
Base_Model_EX400,3,0.02,95.96
Base_Model_2074,3,0.02,95.98
Ripper_Single_Shank,3,0.02,96.0
Model_Description_WA600-1,3,0.02,96.02
Scarifier_Unknown,3,0.02,96.04
Base_Model_D155,3,0.02,96.06
Model_Description_BL70,3,0.02,96.08
Base_Model_MEGA_200,3,0.02,96.1
Tip_Control_Sideshift_&_Tip,3,0.02,96.12
Base_Model_L2800,3,0.02,96.14
Stick_Length_9'_6,3,0.02,96.16
Secondary_Description_SJ,3,0.02,96.18
Base_Model_870,3,0.02,96.2
Model_Description_970F,3,0.02,96.22
Model_Description_80C,3,0.02,96.24
Hydraulics_Base_+_1_Function,3,0.02,96.26
Base_Model_PC120,3,0.02,96.28
Model_Description_416D,3,0.02,96.3
Model_Description_60XT,3,0.02,96.32
Model_Description_40,3,0.02,96.34
Base_Model_205,3,0.02,96.36
Base_Model_1500,3,0.02,96.38
Model_Description_D5KLGP,3,0.02,96.4
Model_Description_302_5,3,0.02,96.42
Model_Description_570LXT,3,0.02,96.44
Model_Description_D7R,3,0.02,96.46
Model_Description_D65E,3,0.02,96.48
Model_Description_D5B,3,0.02,96.5
Model_Description_555E,3,0.02,96.52
Model_Description_235D,3,0.02,96.54
Product_Class_Description_Type_E_-_0_0_to_40_0_Horsepower,3,0.02,96.56
Product_Class_Description_Type_C_-_12_0_to_14_0_Metric_Tons,3,0.02,96.58
Base_Model_BL60,3,0.02,96.6
Model_Description_9050,3,0.02,96.62
Model_Description_SK300LC,3,0.02,96.64
Base_Model_T153,3,0.02,96.66
Base_Model_550,3,0.02,96.68
Model_Description_570A,3,0.02,96.7
Base_Model_27,3,0.02,96.72
Base_Model_SK135,3,0.02,96.74
Product_Class_Description_Type_C_-_8_0_to_11_0_Metric_Tons,3,0.02,96.76
Blade_Type_Unknown,3,0.02,96.78
Model_Description_D37,3,0.02,96.8
Machine_Width_16',3,0.02,96.82
Model_Description_A66,3,0.02,96.84
Base_Model_415,3,0.02,96.86
Screen_Size_1_20_inch,3,0.02,96.88
Transmission_Direct_Drive,3,0.02,96.9
Product_Class_Description_Type_E_-_200_0_to_225_0_Horsepower,3,0.02,96.92
Transmission_Hydrostatic,3,0.02,96.94
Model_Description_D6RLGP,3,0.02,96.96
Base_Model_FR12,3,0.02,96.98
Model_Description_D8RLRC,3,0.02,97.0
Model_Description_12G,3,0.02,97.02
Model_Description_990,3,0.02,97.04
Model_Description_215CLC,3,0.02,97.06
Model_Description_D4B,3,0.02,97.08
Base_Model_906,3,0.02,97.1
Model_Description_12F,3,0.02,97.12
Model_Description_EX270LC,3,0.02,97.14
Model_Description_EL300,3,0.02,97.16
Base_Model_200,3,0.02,97.18
Model_Description_S150,3,0.02,97.2
Model_Description_307,3,0.02,97.22
Base_Model_700,3,0.02,97.24
Product_Class_Description_Type_E_-_275_0_to_350_0_Horsepower,3,0.02,97.26
Model_Description_PC600LC6,3,0.02,97.28
Model_Description_D4D,3,0.02,97.3
Model_Description_773,3,0.02,97.32
Model_Description_95ZIII,2,0.01,97.33
Model_Description_D32P-1,2,0.01,97.34
Model_Description_966C,2,0.01,97.35
Base_Model_480,2,0.01,97.36
Base_Model_M850,2,0.01,97.37
Model_Description_TD9H,2,0.01,97.38
Model_Description_D31P16,2,0.01,97.39
Model_Description_SK400LC,2,0.01,97.4
Model_Description_721C,2,0.01,97.41
Model_Description_544J,2,0.01,97.42
Model_Description_PC50UU-2,2,0.01,97.43
Model_Description_UH181,2,0.01,97.44
Model_Description_644H,2,0.01,97.45
Base_Model_ZX350,2,0.01,97.46
Thumb_Manual,2,0.01,97.47
Base_Model_322,2,0.01,97.48
Model_Description_6625,2,0.01,97.49
Stick_Length_None_or_Unspecified,2,0.01,97.5
Model_Description_PC60-6,2,0.01,97.51
Model_Description_D10N,2,0.01,97.52
Model_Description_9060B,2,0.01,97.53
